              Procedure           Image            Address        Calls Instructions
__memmove_avx_unaligned_erms       libc.so.6       7f5439689510            0         1184
__memmove_avx_unaligned       libc.so.6       7f54396894a0           90          506
__mempcpy_avx_unaligned       libc.so.6       7f5439689480           53          212
          __stpcpy_avx2       libc.so.6       7f5439688730           24          655
          __strlen_avx2       libc.so.6       7f5439686500          284         5180
         __strrchr_avx2       libc.so.6       7f5439686330            2           68
       __strchrnul_avx2       libc.so.6       7f5439686140            2           53
          __strchr_avx2       libc.so.6       7f5439685f10            3           74
          __memchr_avx2       libc.so.6       7f5439682360           12          327
         __strncmp_avx2       libc.so.6       7f5439681e30          188         5723
          __strcmp_avx2       libc.so.6       7f54396819f0           57         1236
                  prctl       libc.so.6       7f5439624dd0            6          164
            __init_misc       libc.so.6       7f54396244d0            1           25
                   mmap       libc.so.6       7f543961f310            1           20
          __getpagesize       libc.so.6       7f543961be20           12           72
                  ioctl       libc.so.6       7f543961b590            1            6
                 __sbrk       libc.so.6       7f543961b4e0            2           49
                    brk       libc.so.6       7f543961b4a0            2           18
              tcgetattr       libc.so.6       7f543961ac90            1           40
      __open64_nocancel       libc.so.6       7f543961a880            2           54
       __close_nocancel       libc.so.6       7f543961a710            4           24
                 isatty       libc.so.6       7f5439617250            1           15
                __write       libc.so.6       7f54396158f0           50          450
              fstatat64       libc.so.6       7f5439614d80            3           24
                  fstat       libc.so.6       7f5439614d40            3           15
            getopt_long       libc.so.6       7f543960b3f0            1            7
       _getopt_internal       libc.so.6       7f543960b340            1           25
     _getopt_internal_r       libc.so.6       7f543960ad30            1           88
                sysconf       libc.so.6       7f54395f3770           12          480
                  _Exit       libc.so.6       7f54395f1f10            1            7
                readdir       libc.so.6       7f54395ed8d0           54         2172
             getdents64       libc.so.6       7f54395ed880            2           18
               closedir       libc.so.6       7f54395ed650            1            9
                opendir       libc.so.6       7f54395ed610            1           10
           opendir_tail       libc.so.6       7f54395ed520            1           30
            __alloc_dir       libc.so.6       7f54395ed430            1           32
            __strcoll_l       libc.so.6       7f54395b8630          224       130073
                 memmem       libc.so.6       7f54395b7550           12         1788
               __strdup       libc.so.6       7f54395b5330           15          270
                strcoll       libc.so.6       7f54395b5160          224          896
    __libc_reallocarray       libc.so.6       7f54395b4880            4           24
     __default_morecore       libc.so.6       7f54395b2f90            2           16
       realloc_hook_ini       libc.so.6       7f54395b1ff0            1           19
                realloc       libc.so.6       7f54395b1c20            5          131
                   free       libc.so.6       7f54395b1980           10          230
        malloc_hook_ini       libc.so.6       7f54395b1650            1           12
          __libc_malloc       libc.so.6       7f54395b1320          107         5068
     tcache_init.part.0       libc.so.6       7f54395b0f50            1          113
            _int_malloc       libc.so.6       7f54395af690          105        15912
   ptmalloc_init.part.0       libc.so.6       7f54395af3d0            1          713
              sysmalloc       libc.so.6       7f54395ae430            1          152
              _int_free       libc.so.6       7f54395ad9f0            6          411
unlink_chunk.constprop.0       libc.so.6       7f54395ad770            4          124
          alloc_perturb       libc.so.6       7f54395acd80          101          404
    __unregister_atfork       libc.so.6       7f54395ac1f0            2           34
     _IO_unsave_markers       libc.so.6       7f54395aa1e0            2           20
            _IO_cleanup       libc.so.6       7f54395a99c0            1           74
    _IO_flush_all_lockp       libc.so.6       7f54395a9680            1           79
     _IO_default_finish       libc.so.6       7f54395a94c0            2           32
     _IO_default_xsputn       libc.so.6       7f54395a8e90            1          338
         _IO_doallocbuf       libc.so.6       7f54395a8d60            1           26
               _IO_setb       libc.so.6       7f54395a8d00            3           89
             __overflow       libc.so.6       7f54395a89e0           50          900
            _IO_un_link       libc.so.6       7f54395a83d0            4           16
__GI__IO_un_link.part.0       libc.so.6       7f54395a80c0            2          192
      _IO_file_overflow       libc.so.6       7f54395a7dd0           67         2645
           _IO_do_write       libc.so.6       7f54395a7a50           52          610
        _IO_file_finish       libc.so.6       7f54395a7370            2           26
      _IO_file_close_it       libc.so.6       7f54395a71d0            2          119
        _IO_file_xsputn       libc.so.6       7f54395a6f30           50         6211
         _IO_file_write       libc.so.6       7f54395a69a0           50         1850
          _IO_file_stat       libc.so.6       7f54395a6990            1            3
           new_do_write       libc.so.6       7f54395a5ce0           50         2800
         _IO_file_close       libc.so.6       7f54395a5c20            2            6
          _IO_file_sync       libc.so.6       7f54395a5ac0            2           36
        fwrite_unlocked       libc.so.6       7f54395a58b0           50         2149
             __fpending       libc.so.6       7f54395a4a50            2           14
             __freading       libc.so.6       7f54395a4960            4           36
                 fileno       libc.so.6       7f54395a2f20            2           14
                 fflush       libc.so.6       7f543959ab20            2          102
             _IO_fclose       libc.so.6       7f543959a630            2          148
    _IO_file_doallocate       libc.so.6       7f543959a4d0            1           63
       __call_tls_dtors       libc.so.6       7f5439565d10            1           12
         __cxa_finalize       libc.so.6       7f54395659c0            2          118
           __cxa_atexit       libc.so.6       7f54395659b0            2            6
      __internal_atexit       libc.so.6       7f5439565880            2           80
           __new_exitfn       libc.so.6       7f5439565770            2           68
                   exit       libc.so.6       7f5439565630            1            6
    __run_exit_handlers       libc.so.6       7f54395653b0            1          131
                 getenv       libc.so.6       7f5439564b20           37        13619
                _setjmp       libc.so.6       7f5439562930            2            6
          __sigjmp_save       libc.so.6       7f54395628e0            2           18
            __sigsetjmp       libc.so.6       7f5439562860            2           44
  _nl_normalize_codeset       libc.so.6       7f543955fc30            2          272
             textdomain       libc.so.6       7f543955f5f0            1           49
         bindtextdomain       libc.so.6       7f543955c000            1           14
set_binding_values.part.0       libc.so.6       7f543955bb90            1           71
     _nl_postload_ctype       libc.so.6       7f543955b290            1           46
 __ctype_get_mb_cur_max       libc.so.6       7f543955a590          150          900
_nl_load_locale_from_archive       libc.so.6       7f5439559db0           12         1839
 _nl_intern_locale_data       libc.so.6       7f5439559790           24        16226
        _nl_find_locale       libc.so.6       7f5439558f30           12         1194
              setlocale       libc.so.6       7f54395587f0            1          812
     new_composite_name       libc.so.6       7f5439558600            1          510
       __errno_location       libc.so.6       7f543954dde0          281         1124
      __libc_start_main       libc.so.6       7f543954da50            1           54
 check_stdfiles_vtables       libc.so.6       7f543954d9e0            1           12
            _init_first       libc.so.6       7f543954d970            1           19
               .plt.sec       libc.so.6       7f543954c350            0          914
               .plt.got       libc.so.6       7f543954c310            0          106
                  .fini     libcap.so.2       7f543977661c            1            4
          cap_get_bound     libcap.so.2       7f5439772b50            6           92
        cap_set_syscall     libcap.so.2       7f54397726d0            1            5
      psx_load_syscalls     libcap.so.2       7f54397726c0            1            2
     _libcap_initialize     libcap.so.2       7f5439772050            1           82
                  .text     libcap.so.2       7f5439772020            1            4
                  _init     libcap.so.2       7f5439772000            1            7
                 memset ld-linux-x86-64.so.2       7f544f032ff0           11          527
                 memcpy ld-linux-x86-64.so.2       7f544f032e00           20          332
              __mempcpy ld-linux-x86-64.so.2       7f544f032df0           10           40
                 strlen ld-linux-x86-64.so.2       7f544f032890           17          397
                  index ld-linux-x86-64.so.2       7f544f032660           15          384
                   bcmp ld-linux-x86-64.so.2       7f544f032260            1           41
                 strcmp ld-linux-x86-64.so.2       7f544f02f070          545        26644
               __strdup ld-linux-x86-64.so.2       7f544f02f020            2           36
       __GI___sigsetjmp ld-linux-x86-64.so.2       7f544f02ed50            4           96
        __GI___mprotect ld-linux-x86-64.so.2       7f544f02ec30            4           24
            __GI_munmap ld-linux-x86-64.so.2       7f544f02ec00            1            6
                 mmap64 ld-linux-x86-64.so.2       7f544f02eb60           12          226
__libc_scratch_buffer_set_array_size ld-linux-x86-64.so.2       7f544f02eab0            2           40
__GI___pread64_nocancel ld-linux-x86-64.so.2       7f544f02ea50            6           42
   __GI___read_nocancel ld-linux-x86-64.so.2       7f544f02ea20            2           12
        __open_nocancel ld-linux-x86-64.so.2       7f544f02e9a0            3           57
  __GI___close_nocancel ld-linux-x86-64.so.2       7f544f02e890            3           18
                 access ld-linux-x86-64.so.2       7f544f02e860            1            9
              fstatat64 ld-linux-x86-64.so.2       7f544f02e790            3           24
                fstat64 ld-linux-x86-64.so.2       7f544f02e750            3           15
                 __sbrk ld-linux-x86-64.so.2       7f544f02da90            1           15
                    brk ld-linux-x86-64.so.2       7f544f02da60            1            8
_dl_hwcaps_subdirs_active ld-linux-x86-64.so.2       7f544f02d360            1           47
_dl_hwcaps_split_masked ld-linux-x86-64.so.2       7f544f02d310           11          212
    _dl_hwcaps_contains ld-linux-x86-64.so.2       7f544f02d2a0            6           30
       _dl_hwcaps_split ld-linux-x86-64.so.2       7f544f02d200           15          390
   _dl_important_hwcaps ld-linux-x86-64.so.2       7f544f02c8f0            1          757
            copy_hwcaps ld-linux-x86-64.so.2       7f544f02c850            2           88
      _dl_receive_error ld-linux-x86-64.so.2       7f544f02c680            1           17
    _dl_catch_exception ld-linux-x86-64.so.2       7f544f02c540            4          144
__rtld_malloc_init_real ld-linux-x86-64.so.2       7f544f02c080            1          118
   lookup_malloc_symbol ld-linux-x86-64.so.2       7f544f02be60            4          180
__rtld_malloc_init_stubs ld-linux-x86-64.so.2       7f544f02bbd0            1           10
              rtld_free ld-linux-x86-64.so.2       7f544f02bb90            2           10
            rtld_malloc ld-linux-x86-64.so.2       7f544f02ba70           24          645
            rtld_calloc ld-linux-x86-64.so.2       7f544f02ba30           11          121
  _dl_next_ld_env_entry ld-linux-x86-64.so.2       7f544f02b950            1          400
 _dl_discover_osversion ld-linux-x86-64.so.2       7f544f02b760            1           53
_dl_sysdep_start_cleanup ld-linux-x86-64.so.2       7f544f02b5a0            1            2
       _dl_sysdep_start ld-linux-x86-64.so.2       7f544f02b1b0            1          523
          _dl_cet_check ld-linux-x86-64.so.2       7f544f02a610            1            2
           dl_cet_check ld-linux-x86-64.so.2       7f544f02a170            1           29
_dl_x86_init_cpu_features ld-linux-x86-64.so.2       7f544f02a140            1            5
__x86_cpu_features_ifunc ld-linux-x86-64.so.2       7f544f02a110            1            6
init_cpu_features.constprop.0 ld-linux-x86-64.so.2       7f544f029230            1          317
update_usable.constprop.0 ld-linux-x86-64.so.2       7f544f028d60            1          653
get_common_indices.constprop.0 ld-linux-x86-64.so.2       7f544f028510            1           67
             handle_amd ld-linux-x86-64.so.2       7f544f028330           10          304
      __tunable_get_val ld-linux-x86-64.so.2       7f544f027a00           25          516
   __GI___tunables_init ld-linux-x86-64.so.2       7f544f027410            1        27777
 __GI___tunable_set_val ld-linux-x86-64.so.2       7f544f027270            5          230
       _dl_unload_cache ld-linux-x86-64.so.2       7f544f0271b0            1           12
  _dl_load_cache_lookup ld-linux-x86-64.so.2       7f544f026e60            2          118
           search_cache ld-linux-x86-64.so.2       7f544f026730            2          528
       _dl_cache_libcmp ld-linux-x86-64.so.2       7f544f026650           18         1376
_dl_call_libc_early_init ld-linux-x86-64.so.2       7f544f0263d0            1           24
      _dl_lookup_direct ld-linux-x86-64.so.2       7f544f026220            1           64
            check_match ld-linux-x86-64.so.2       7f544f026160            1           47
          _dl_sort_maps ld-linux-x86-64.so.2       7f544f025ea0            2          481
    _dl_add_to_slotinfo ld-linux-x86-64.so.2       7f544f022160            1           28
  _dl_allocate_tls_init ld-linux-x86-64.so.2       7f544f021af0            1           87
_dl_allocate_tls_storage ld-linux-x86-64.so.2       7f544f021a10            1          352
_dl_determine_tlsoffset ld-linux-x86-64.so.2       7f544f021840            1           74
       _dl_count_modids ld-linux-x86-64.so.2       7f544f0217d0            1            6
     _dl_next_tls_modid ld-linux-x86-64.so.2       7f544f0216e0            1            7
_dl_tls_static_surplus_init ld-linux-x86-64.so.2       7f544f021650            1           37
 _dl_check_all_versions ld-linux-x86-64.so.2       7f544f020970            1           85
 _dl_check_map_versions ld-linux-x86-64.so.2       7f544f020210            5         4944
       _dl_name_match_p ld-linux-x86-64.so.2       7f544f01ffe0           27          781
_dl_sysdep_read_whole_file ld-linux-x86-64.so.2       7f544f01fb40            1           42
   _dl_debug_initialize ld-linux-x86-64.so.2       7f544f01f3d0            4           45
        _dl_debug_state ld-linux-x86-64.so.2       7f544f01f3c0            2            4
               _dl_fini ld-linux-x86-64.so.2       7f544f01efd0            1          292
               _dl_init ld-linux-x86-64.so.2       7f544f01eea0            1           69
              call_init ld-linux-x86-64.so.2       7f544f01ed70            4          192
    _dl_map_object_deps ld-linux-x86-64.so.2       7f544f01d290            1         1211
                openaux ld-linux-x86-64.so.2       7f544f01d250            4           72
    _dl_relocate_object ld-linux-x86-64.so.2       7f544f01b8c0            4        50641
      _dl_protect_relro ld-linux-x86-64.so.2       7f544f01b780            4           80
         _dl_new_object ld-linux-x86-64.so.2       7f544f01b1e0            4          695
_dl_add_to_namespace_list ld-linux-x86-64.so.2       7f544f01b140            4          168
         _dl_setup_hash ld-linux-x86-64.so.2       7f544f01b080            5          125
    _dl_lookup_symbol_x ld-linux-x86-64.so.2       7f544f01a0b0          294        53204
            do_lookup_x ld-linux-x86-64.so.2       7f544f0194d0          294        68540
            check_match ld-linux-x86-64.so.2       7f544f019320          287        16477
         _dl_map_object ld-linux-x86-64.so.2       7f544f0185d0            4          698
 _dl_map_object_from_fd ld-linux-x86-64.so.2       7f544f016fe0            2         2560
_dl_process_pt_gnu_property ld-linux-x86-64.so.2       7f544f016f70            3           60
         _dl_init_paths ld-linux-x86-64.so.2       7f544f016c70            1           80
          _dl_dst_count ld-linux-x86-64.so.2       7f544f0164c0            4           72
open_verify.constprop.0 ld-linux-x86-64.so.2       7f544f015650            2          615
                dl_main ld-linux-x86-64.so.2       7f544f011540            1         1945
              _dl_start ld-linux-x86-64.so.2       7f544f010e20            1          627
     version_check_doit ld-linux-x86-64.so.2       7f544f010ca0            1           11
               init_tls ld-linux-x86-64.so.2       7f544f010a60            1           87
rtld_lock_default_unlock_recursive ld-linux-x86-64.so.2       7f544f0100f0            5           15
rtld_lock_default_lock_recursive ld-linux-x86-64.so.2       7f544f0100e0            5           15
                  .text ld-linux-x86-64.so.2       7f544f010090            1           19
               .plt.sec ld-linux-x86-64.so.2       7f544f010050            4            8
                  .fini              ls       5565f0b3b414            1            4
                  .text              ls       5565f0b27040            0       120524
       __cxa_atexit@plt              ls       5565f0b27030            1            1
                  _init              ls       5565f0b27000            1            7
